lab name;lab_nr;probenahme;versuchsfläche;gps_lat;gps_lon;bodenklimaraum;bodengruppe;kultur;sorte;öko/konv;ertrag (dt/ha);rohprotein (% TS);stärke (%);zucker (% TS);öl (%);bewässerung;besonderheiten;dat_saat;dat_ernte;entwicklungsstadium;d_org;d_n;d_p2o5;d_k2o;d_mgo;d_cao;d_s;d_b;d_mn;d_cu;d_zn;d_fe;dat_düng;anm_dgg;p_n;p_ca;p_p;p_k;p_mg;p_na;p_s;p_b;p_mn;p_cu;p_zn;p_fe;p_mo;p_al;p_co;p_se;p_si;p_c;p_c_n;p_n_s;p_ts;ph_wert;b_n;b_p;b_k;b_mg;b_ca;b_b;b_mn;b_cu;b_zn;b_fe;b_c_n;b_c;b_humus;station_id;station_name;station_lat;station_lon
IAU;1_885;20.06.2022;0;52,069558;11,495749;107;4;Kartoffel;Lea;1;375;;;;;0;"VF WW DÜ: 2,5 t PPL; Zwischenfrucht TL Solanum TR Öko gesät Anfang Sept. 2021";04.05.2022;31.08.2022;Knospenstadium;;65;34;200;14;;19;1;0;0;1;0;17.03.2022;2,5 t PPL/ha;5,22;2,07;0,28;8,53;0,28;0,01;0,33;35;66,5;8,77;31,8;244,1;0,42;414,7;0,14;0,06;;40,46;7,75;;;7,1;0,18;9,7;41,17;11,2;285;1,19;121,8;2,35;4,96;44,34;10,86;1,96;3,36;3126;Magdeburg;52,10290146;11,58269978
IAU;1_886;20.06.2022;0;52,069558;11,495749;107;4;Kartoffel;Mariola;1;227,5;;;;;0;"VF WW DÜ: 2,5 t PPL; Zwischenfrucht TL Solanum TR Öko gesät Anfang Sept. 2021";04.05.2022;19.09.2022;Knospenstadium;;65;34;200;14;;19;1;0;0;1;0;17.03.2022;2,5 t PPL/ha;5,32;1,54;0,3;7;0,36;0,01;0,37;27,2;54,9;10,07;24,2;234,6;0,52;393;0,12;0,05;;42,5;7,99;;;6,7;0,17;5;17,81;11,7;327;0,55;74,73;1,92;3,5;40,65;11,27;1,91;3,28;3126;Magdeburg;52,10290146;11,58269978
IAU;1_887;20.06.2022;0;52,069558;11,495749;107;4;Kartoffel;Princess;1;214,9;;;;;0;"VF WW DÜ: 2,5 t PPL; Zwischenfrucht TL Solanum TR Öko gesät Anfang Sept. 2021";04.05.2022;31.08.2022;Knospenstadium;;65;34;200;14;;19;1;0;0;1;0;17.03.2022;2,5 t PPL/ha;5,3;2;0,26;6,93;0,34;0,01;0,35;27;65,5;8,95;24,6;244,5;0,38;486,9;0,15;0,08;;41,94;7,91;;;7;0,17;6;28,27;11,9;286;1,05;137,5;2,31;4,03;40,99;11,56;1,97;3,38;3126;Magdeburg;52,10290146;11,58269978
IAU;1_888;20.06.2022;0;52,069558;11,495749;107;4;Kartoffel;Santera;1;244,3;;;;;0;"VF WW DÜ: 2,5 t PPL; Zwischenfrucht TL Solanum TR Öko gesät Anfang Sept. 2021";04.05.2022;23.09.2022;Knospenstadium;;65;34;200;14;;19;1;0;0;1;0;17.03.2022;2,5 t PPL/ha;5,22;2,19;0,26;6,79;0,34;0,01;0,33;20,1;65,5;8,84;24,6;169,8;0,33;339,5;0,12;0,05;;41,55;7,96;;;7,5;0,22;12,8;25,05;8,9;406;1,36;59,69;1,8;3,56;21,2;11,17;2,46;4,23;3126;Magdeburg;52,10290146;11,58269978
IAU;1_889;20.06.2022;0;52,07277;11,481855;107;4;Kartoffel;Glorietta;1;181,7;;;;;0;VF: Erbse DÜ: 2 t PPL;24.04.2022;12.08.2022;Blühbeginn;;52;89;164;52;1.189;24;1;0;0;1;0;17.03.2022;2 t PPL/ha;4,56;2,47;0,23;5,28;0,57;0,01;0,31;30,1;71,2;6,95;25,4;186,7;0,47;372;0,12;;;45,55;9,99;;;6,4;0,2;5,3;16,14;14,5;242;1,46;214,5;2,6;6,45;81,11;11,73;2,32;3,99;3126;Magdeburg;52,10290146;11,58269978
IAU;1_890;20.06.2022;0;52,07277;11,481855;107;4;Kartoffel;Ballerina;1;251,7;;;;;0;VF: Erbse DÜ: 2 t PPL;24.04.2022;05.09.2022;Knospenstadium;;52;89;164;52;1.189;24;1;0;0;1;0;17.03.2022;2 t PPL/ha;4,87;2,83;0,23;6,71;0,5;0,01;0,32;27,2;88,6;7,97;22,5;182,8;0,78;319,9;0,11;0,04;;41,66;8,55;;;6,5;0,19;4,7;20,04;14,7;237;1,34;167,7;2,32;5,8;79,66;11,82;2,28;3,93;3126;Magdeburg;52,10290146;11,58269978
IAU;1_891;20.06.2022;0;52,07277;11,481855;107;4;Kartoffel;Mary Ann;1;284,6;;;;;0;VF: Erbse DÜ: 2 t PPL;24.04.2022;30.09.2022;Knospenstadium;;52;89;164;52;1.189;24;1;0;0;1;0;17.03.2022;2 t PPL/ha;4,58;2,28;0,27;5,91;0,35;0,01;0,33;23;71,5;7,86;24,5;201,3;0,7;366,1;0,12;0,02;;42,78;9,34;;;6,3;0,19;4,7;19,76;14,6;233;1,42;169,1;2,34;6,17;87,56;12,21;2,3;3,95;3126;Magdeburg;52,10290146;11,58269978
IAU;1_892;20.06.2022;0;52,07277;11,481855;107;4;Kartoffel;Lea;1;309,9;;;;;0;VF: Erbse DÜ: 2 t PPL;24.04.2022;06.09.2022;Knospenstadium;;52;89;164;52;1.189;24;1;0;0;1;0;17.03.2022;2 t PPL/ha;5,41;2,15;0,3;7,94;0,36;0,01;0,33;31,5;68;7,4;27,4;249;0,72;485;0,15;0,04;;40,53;7,49;;;7;0,21;9,7;51,54;14,8;252;1,98;202,2;2,57;6,84;68,21;12,05;2,48;4,27;3126;Magdeburg;52,10290146;11,58269978
IAU;1_898;20.06.2022;0;51,139931;11,961967;107;4;Kartoffel;Anuschka;0;210,4;;;;;0;"VF: Mais; Dü HTK";14.04.2022;19.09.2022;Knospenstadium;;62;51;66;15;36;1;1;0;0;0;0;28.04.2022;und 25.02.2022 3 t/ha HTK und 125 kg/ha Physaktiv plus 1;5,37;2,15;0,4;5,44;0,46;0,01;0,37;28,9;53,7;11,11;37,8;209,6;0,84;382,9;0,17;0,06;;42,08;7,84;;;6,2;0,17;8,9;25,31;16,7;192;0,92;170,3;4,5;7,32;133,3;11,79;2,04;3,51;3821;Osterfeld;51,08720016;11,92930031
IAU;1_899;20.06.2022;0;51,139931;11,961967;107;4;Kartoffel;Anuschka;0;210,4;;;;;0;"VF: Mais; Dü HTK";14.04.2022;19.09.2022;Blühbeginn;;62;51;66;15;36;1;1;0;0;0;0;28.04.2022;und 25.02.2022 3 t/ha HTK und 125 kg/ha Physaktiv plus 1;4,49;2,22;0,29;4,88;0,56;0,01;0,33;24;56,8;10,48;26,7;205,5;0,35;401,8;0,14;0,07;;42,22;9,41;;;6;0,17;6,7;19,37;19,1;177;0,59;141,1;3,88;5,97;123,9;10,39;1,77;3,04;3821;Osterfeld;51,08720016;11,92930031
IAU;1_900;20.06.2022;0;51,06878;11,95;107;4;Kartoffel;Belana;0;287,1;;;;;0;VF: Durum;20.04.2022;06.10.2022;Knospenstadium;;;;;;;;0;0;0;0;0;;keine Düngung;4,07;1,72;0,25;5,13;0,25;0,01;0,26;25;65,2;7,77;19,8;238,5;0,36;483;0,18;;;42,01;10,32;;;5,8;0,18;7,4;31,58;14,3;157;0,57;166,1;3,66;4,65;152,5;11,15;1,95;3,36;3821;Osterfeld;51,08720016;11,92930031
IAU;1_901;20.06.2022;0;51,06878;11,80232;107;4;Kartoffel;Gala;0;295,1;;;;;0;VF: Durum;20.04.2022;05.10.2022;Blühbeginn;;;;;;;;0;0;0;0;0;;keine Düngung;4,88;1,84;0,25;5,67;0,34;0,01;0,31;24,9;79;9,73;23,4;251,6;0,12;519;0,17;0,1;;42,88;8,8;;;5,5;0,17;4,7;25,82;13,5;153;0,57;147,3;3,49;3,42;142;10,76;1,8;3,09;7420;Naumburg/Saale-Kreipitzsch;51,10440063;11,71119976
IAU;1_1087;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Corinna;0;233,6;;;;;0;;19.04.2022;28.09.2022;Knospenstadium;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,2;2,43;0,19;4,67;0,37;0,01;0,3;39,1;100,6;16,11;26,2;108,2;0,51;121,3;0,1;0,12;;42,16;10,05;;;6,3;0,14;3,5;13,37;13,8;216;1,29;257,3;2,99;4,57;70,63;11,7;1,65;2,84;2878;Lauchstädt, Bad;51,39089966;11,87860012
IAU;1_1088;24.06.2022;0;51,2658055;11,7722677;107;4;Kartoffel;Ballerina;0;272,7;;;;;0;;19.04.2022;18.08.2022;Knospenstadium;;42;105;157;;399;;1;0;0;1;0;08.07.2022;Blattdüngung mit K und Mikronährstoffen nach Blattanalyse;4,37;3,54;0,16;5,02;0,56;0,01;0,31;33,7;161,9;11,66;26,7;184,3;1,06;228,5;0,15;0,08;;41,14;9,42;;;6,3;0,15;2,5;12,02;13,3;206;1,38;263,9;3,08;4,75;68,62;11,6;1,72;2,95;2878;Lauchstädt, Bad;51,39089966;11,87860012
