Kultur;Stadium;id_element;Variable;y_max;x_max;a_l;a_r
Winterweizen;EC 39-41;p_n;N (% TS);0,85435777;2,24348305;-0,52928487;-0,49969334
Winterweizen;EC 39-41;p_c;C (% TS);0,87198644;42,95806582;-0,16603399;-0,16603399
Winterweizen;EC 39-41;p_p;P (% TS);0,90276623;0,2627271;-34,29092642;-107,49368188
Winterweizen;EC 39-41;p_k;K (% TS);0,85154306;2,74244386;-0,18836102;-0,1672714
Winterweizen;EC 39-41;p_ca;Ca (% TS);0,87306018;0,3096343;-34,0098487;-34,0070284
Winterweizen;EC 39-41;p_mg;Mg (% TS);0,87408344;0,10928713;-177,69338305;-177,68603837
Winterweizen;EC 39-41;p_s;S (% TS);0,8817905;0,19689039;-60,45772077;-60,45571636
Winterweizen;EC 39-41;p_b;B (ppm);0,8712842;3,60472595;-0,06360108;-0,06162896
Winterweizen;EC 39-41;p_mn;Mn (ppm);0,84171379;42,0516341;-0,00129798;-0,0
Winterweizen;EC 39-41;p_cu;Cu (ppm);0,88063848;6,52133429;-0,04797638;-0,01338514
Winterweizen;EC 39-41;p_zn;Zn (ppm);0,85982955;23,85922167;-0,00369813;-0,00309789
Winterweizen;EC 39-41;p_fe;Fe (ppm);0,79645255;71,76012701;-0,00014014;-0,00014658
Winterweizen;EC 39-41;p_mo;Mo (ppm);0,89948065;0,66652938;-0,28727007;-0,19861991
Winterweizen;EC 39-41;p_al;Al (ppm);0,85083389;72,24100936;-3,957e-05;-6,093e-05
Winterweizen;EC 39-41;p_c_n;C/N-Verhältnis;0,87074598;20,92093179;-2,3e-06;-0,00526485
Winterweizen;EC 39-41;b_p;P (mg/100 g);0,95223292;9,59853633;-0,00157345;-0,00200441
Winterweizen;EC 39-41;b_k;K (mg/100 g);0,87087734;17,24502485;-0,00039781;-0,00035411
Winterweizen;EC 39-41;b_mg;Mg (mg/100 g);0,87205363;11,80428745;-0,00444234;-0,00332961
Winterweizen;EC 39-41;b_ca;Ca (mg/100 g);0,83194938;227,73161633;-1,464e-05;-1,464e-05
Winterweizen;EC 39-41;b_b;B (mg/kg);0,85791282;1,02274657;-0,70663077;-0,59502469
Winterweizen;EC 39-41;b_mn;Mn (mg/kg);0,90753833;153,35568182;-1,678e-05;-4,17e-06
Winterweizen;EC 39-41;b_cu;Cu (mg/kg);0,77505382;3,47106585;-0,06896193;-0,07140929
Winterweizen;EC 39-41;b_zn;Zn (mg/kg);0,83091478;8,5960079;-0,01327235;-0,01360467
Winterweizen;EC 39-41;b_fe;Fe (mg/kg);0,84077333;60,13884481;-7,225e-05;-6,589e-05
Winterweizen;EC 39-41;b_c_n;C/N;0,87134949;10,22792016;-0,03625329;-0,1834048
Winterweizen;EC 39-41;b_c;C (% TS)2;0,88143598;1,74963217;-0,55724725;-0,51387281
Winterweizen;EC 39-41;b_n;N(% TS);0,82789839;0,15722378;-71,95858043;-45,98651427
Winterweizen;EC 39-41;b_humus;Humus (%TS);0,88427772;2,94395544;-0,18662098;-0,15840627
Winterweizen;EC 42-45;p_n;N (% TS);0,76922482;2,14406377;-0,04708508;-1,14e-06
Winterweizen;EC 42-45;p_c;C (% TS);0,77122505;42,33303239;-1e-08;-0,00278073
Winterweizen;EC 42-45;p_p;P (% TS);0,80079818;0,22970681;-56,07416613;-56,08458003
Winterweizen;EC 42-45;p_k;K (% TS);0,77839447;2,7780816;-0,09181921;-0,14979007
Winterweizen;EC 42-45;p_ca;Ca (% TS);0,83576654;0,28320072;-16,45674708;-16,45442646
Winterweizen;EC 42-45;p_mg;Mg (% TS);0,94447086;0,1161573;-263,35881593;-263,34825293
Winterweizen;EC 42-45;p_na;Na (% TS);0,76656884;0,0104666;-9480,94270942;-9480,94274151
Winterweizen;EC 42-45;p_s;S (% TS);0,91246693;0,20931228;-42,12316755;-42,13434758
Winterweizen;EC 42-45;p_b;B (ppm);0,76428012;4,69484057;-0,00112734;-0,00112734
Winterweizen;EC 42-45;p_mn;Mn (ppm);0,86345694;41,86400187;-0,00047365;-0,0001076
Winterweizen;EC 42-45;p_cu;Cu (ppm);0,77408869;6,0679243;-0,03705027;-0,02191132
Winterweizen;EC 42-45;p_zn;Zn (ppm);0,82796645;11,16723691;-0,00135008;-0,00058458
Winterweizen;EC 42-45;p_fe;Fe (ppm);0,76428102;63,06230901;-0,0;-7,67e-06
Winterweizen;EC 42-45;p_mo;Mo (ppm);0,79052901;0,71651187;-0,72305669;-0,65152228
Winterweizen;EC 42-45;p_al;Al (ppm);0,77068848;66,10561146;-2,881e-05;-1,853e-05
Winterweizen;EC 42-45;p_c_n;C/N-Verhältnis;0,76437042;21,24498178;-1e-08;-1,189e-05
Winterweizen;EC 42-45;b_p;P (mg/100 g);0,83536816;7,897884;-0,00127321;-0,00211381
