Kultur,Entwicklungsstadium,id_element,Element,Einheit,min_labor,max_labor
Winterraps,30-50 cm,p_n,Stickstoff 1,% TS,4.0,5.5
Winterraps,30-50 cm,p_ca,Calcium 1,% TS,1.0,2.0
Winterraps,30-50 cm,p_p,Phosphor 1,% TS,0.35,0.7
Winterraps,30-50 cm,p_k,Kalium 1,% TS,2.8,5.0
Winterraps,30-50 cm,p_mg,Magnesium 1,% TS,0.25,0.4
Winterraps,30-50 cm,p_na,Natrium 2,% TS,0.004,2.0
Winterraps,30-50 cm,p_s,Schwefel 2,% TS,0.45,0.9
Winterraps,30-50 cm,p_b,Bor 1,ppm,30.0,60.0
Winterraps,30-50 cm,p_mn,Mangan 1,ppm,30.0,150.0
Winterraps,30-50 cm,p_cu,Kupfer 1,ppm,5.0,12.0
Winterraps,30-50 cm,p_zn,Zink 1,ppm,25.0,70.0
Winterraps,30-50 cm,p_fe,Eisen 2,ppm,50.0,150.0
Winterraps,30-50 cm,p_mo,Molybdän 2,ppm,0.4,1.0
Winterraps,30-50 cm,p_co,Cobalt,ppm,0.01,0.4
Winterraps,30-50 cm,p_se,Selen,ppm,0.01,0.5
Winterraps,EC 53,p_n,"Stickstoff 1,2",% TS,4.2,5.5
Winterraps,EC 53,p_ca,Calcium 2,% TS,1.0,2.0
Winterraps,EC 53,p_p,"Phosphor 1,2",% TS,0.4,0.74
Winterraps,EC 53,p_k,"Kalium 1,2",% TS,2.3,4.8
Winterraps,EC 53,p_mg,"Magnesium 1,2",% TS,0.18,0.36
Winterraps,EC 53,p_na,Natrium 3,% TS,0.004,2.0
Winterraps,EC 53,p_s,"Schwefel 1,2",% TS,0.45,0.9
Winterraps,EC 53,p_b,"Bor  1,2",ppm,15.0,50.0
Winterraps,EC 53,p_mn,"Mangan  1,2",ppm,30.0,150.0
Winterraps,EC 53,p_cu,Kupfer 2,ppm,5.0,12.0
Winterraps,EC 53,p_zn,Zink 2,ppm,25.0,70.0
Winterraps,EC 53,p_fe,Eisen 3,ppm,50.0,150.0
Winterraps,EC 53,p_mo,"Molybdän  1,2",ppm,0.38,1.0
Winterraps,EC 53,p_co,Cobalt,ppm,0.01,0.4
Winterraps,EC 53,p_se,Selen,ppm,0.01,0.5
Winterraps,EC 55,p_n,"Stickstoff  1,2",% TS,4.1,5.5
Winterraps,EC 55,p_ca,Calcium 2,% TS,1.0,2.0
Winterraps,EC 55,p_p,"Phosphor  1,2",% TS,0.39,0.73
Winterraps,EC 55,p_k,"Kalium  1,2",% TS,2.3,4.8
Winterraps,EC 55,p_mg,"Magnesium 1,2",% TS,0.18,0.37
